close,epoch,high,low,open
1213.76,1749578400,1214.98,1213.3,1213.61
1214.58,1749578460,1214.77,1212.37,1213.29
1212.88,1749578520,1215.24,1212.06,1214.66
1216.49,1749578580,1216.49,1212.54,1212.6
1216.84,1749578640,1218.22,1216.0,1216.45
1220.01,1749578700,1220.01,1217.35,1217.35
1220.62,1749578760,1221.49,1219.87,1220.23
1223.66,1749578820,1223.66,1220.19,1220.57
1219.43,1749578880,1223.55,1219.02,1223.55
1220.7,1749578940,1222.23,1220.09,1220.09
1220.26,1749579000,1221.4,1219.31,1220.77
1220.23,1749579060,1221.51,1219.49,1220.31
1219.24,1749579120,1221.4,1218.82,1220.12
1220.91,1749579180,1221.46,1219.73,1219.73
1220.35,1749579240,1220.88,1218.96,1220.49
1222.09,1749579300,1223.09,1220.46,1220.46
1224.78,1749579360,1224.78,1221.83,1222.04
1224.5,1749579420,1226.79,1224.24,1225.19
1223.67,1749579480,1224.58,1222.53,1224.58
1224.61,1749579540,1224.61,1222.01,1222.98
1223.35,1749579600,1224.82,1221.88,1224.82
1222.64,1749579660,1224.59,1222.64,1223.4
1222.91,1749579720,1222.91,1220.94,1222.82
1222.08,1749579780,1223.61,1221.39,1222.83
1219.79,1749579840,1222.27,1219.79,1222.27
1221.39,1749579900,1222.21,1219.85,1219.85
1224.21,1749579960,1224.59,1221.39,1221.39
1222.95,1749580020,1224.86,1222.6,1224.52
1222.1,1749580080,1224.09,1222.1,1223.14
1218.8,1749580140,1222.5,1218.17,1222.33
1219.1,1749580200,1219.92,1218.38,1219.28
1221.28,1749580260,1221.28,1219.13,1219.13
1223.71,1749580320,1223.71,1221.0,1221.0
1222.31,1749580380,1224.07,1221.98,1223.7
1223.61,1749580440,1224.2,1221.78,1222.29
1223.39,1749580500,1224.2,1222.14,1223.51
1220.63,1749580560,1223.41,1219.92,1223.41
1218.95,1749580620,1221.06,1218.45,1220.96
1218.27,1749580680,1220.6,1218.27,1218.92
1217.14,1749580740,1219.11,1217.11,1217.94
1217.03,1749580800,1217.8,1216.06,1217.51
1219.49,1749580860,1219.53,1215.92,1216.49
1216.75,1749580920,1219.78,1216.22,1219.21
1217.69,1749580980,1217.69,1216.07,1216.46
1221.81,1749581040,1222.5,1217.59,1217.84
1223.37,1749581100,1223.37,1221.4,1221.52
1223.68,1749581160,1225.35,1223.16,1223.87
1221.39,1749581220,1223.68,1221.39,1223.68
1220.11,1749581280,1222.0,1219.81,1221.66
1221.47,1749581340,1221.47,1219.63,1220.64
1222.05,1749581400,1222.48,1220.69,1221.37
1221.81,1749581460,1223.93,1221.38,1221.71
1220.95,1749581520,1223.17,1220.25,1222.28
1224.32,1749581580,1224.43,1219.72,1221.04
1225.11,1749581640,1226.02,1223.74,1224.13
1224.59,1749581700,1226.29,1224.3,1225.27
1222.99,1749581760,1225.05,1222.32,1224.81
1224.59,1749581820,1224.87,1222.51,1223.08
1227.73,1749581880,1227.96,1224.86,1224.86
1226.68,1749581940,1228.69,1226.28,1227.38
1226.12,1749582000,1228.32,1226.12,1226.27
1229.84,1749582060,1229.84,1226.12,1226.12
1231.76,1749582120,1231.89,1229.7,1229.7
1233.69,1749582180,1233.69,1232.27,1232.54
1233.87,1749582240,1234.97,1233.49,1233.71
1235.89,1749582300,1235.89,1233.22,1233.71
1236.15,1749582360,1237.04,1235.15,1235.45
1236.13,1749582420,1237.4,1235.68,1236.53
1236.06,1749582480,1236.86,1234.76,1236.14
1235.09,1749582540,1235.85,1234.24,1235.85
1238.07,1749582600,1238.07,1234.84,1235.57
1235.16,1749582660,1238.71,1235.15,1238.0
1233.02,1749582720,1234.84,1233.02,1234.84
1233.21,1749582780,1233.36,1231.96,1232.48
1233.83,1749582840,1234.01,1232.19,1233.03
1235.26,1749582900,1235.26,1233.4,1234.26
1237.61,1749582960,1237.61,1234.83,1235.3
1238.43,1749583020,1239.47,1236.63,1236.92
1238.66,1749583080,1239.76,1238.06,1238.06
1240.19,1749583140,1240.83,1238.5,1238.62
1239.49,1749583200,1240.81,1238.6,1240.52
1239.86,1749583260,1241.63,1239.34,1239.58
1240.46,1749583320,1240.71,1239.3,1239.85
1244.09,1749583380,1244.1,1240.58,1240.62
1240.46,1749583440,1244.07,1240.44,1244.07
1240.53,1749583500,1241.95,1239.87,1239.87
1239.67,1749583560,1241.3,1238.68,1240.72
1241.28,1749583620,1241.99,1239.19,1239.68
1242.56,1749583680,1243.24,1241.38,1241.38
1239.37,1749583740,1242.81,1239.37,1242.38
1239.63,1749583800,1239.77,1238.48,1239.13
1241.47,1749583860,1241.53,1239.55,1239.76
1240.5,1749583920,1241.61,1239.28,1241.45
1239.67,1749583980,1241.4,1238.2,1240.32
1238.63,1749584040,1241.26,1238.63,1239.79
1238.34,1749584100,1239.3,1237.86,1238.96
1239.94,1749584160,1240.58,1237.53,1238.1
1239.63,1749584220,1240.75,1238.93,1240.21
1241.49,1749584280,1242.15,1239.48,1239.48
1241.03,1749584340,1241.65,1240.45,1241.41
1241.4,1749584400,1243.2,1240.98,1240.98
1239.93,1749584460,1241.8,1239.39,1241.19
1239.42,1749584520,1239.83,1238.69,1239.68
1237.72,1749584580,1239.38,1236.62,1239.07
1235.1,1749584640,1237.32,1235.1,1237.32
1231.38,1749584700,1235.26,1231.38,1235.26
1231.38,1749584760,1232.4,1230.87,1231.38
1232.07,1749584820,1232.44,1229.59,1230.79
1232.83,1749584880,1233.76,1232.15,1232.23
1234.74,1749584940,1236.05,1232.79,1233.17
1235.1,1749585000,1235.65,1233.78,1234.85
1234.21,1749585060,1235.51,1233.49,1235.51
1235.83,1749585120,1235.97,1234.32,1234.32
1236.05,1749585180,1236.06,1234.63,1235.9
1236.02,1749585240,1237.56,1235.83,1236.05
1234.64,1749585300,1236.05,1233.78,1235.94
1238.74,1749585360,1238.74,1234.1,1234.56
1237.22,1749585420,1239.75,1236.7,1238.25
1234.77,1749585480,1237.53,1234.25,1237.53
1233.45,1749585540,1235.12,1233.01,1234.94
1235.07,1749585600,1235.4,1232.66,1233.31
1236.39,1749585660,1236.82,1234.61,1235.48
1234.14,1749585720,1235.74,1233.87,1235.71
1234.53,1749585780,1234.53,1233.1,1234.02
1234.19,1749585840,1235.15,1233.48,1234.63
1234.46,1749585900,1234.75,1232.52,1233.82
1237.39,1749585960,1237.39,1234.56,1234.56
1237.53,1749586020,1237.74,1235.54,1236.95
1238.78,1749586080,1238.86,1236.17,1237.23
1237.64,1749586140,1240.16,1237.64,1238.89
1235.43,1749586200,1237.56,1235.43,1237.4
1236.13,1749586260,1236.13,1234.86,1235.31
1236.14,1749586320,1236.64,1235.18,1236.19
1236.63,1749586380,1236.63,1235.57,1236.14
1237.46,1749586440,1238.05,1235.44,1236.53
1236.6,1749586500,1237.82,1235.67,1237.28
1236.85,1749586560,1238.07,1235.91,1236.31
1236.25,1749586620,1237.49,1235.47,1236.98
1237.5,1749586680,1237.87,1236.35,1236.39
1239.55,1749586740,1240.89,1237.84,1237.84
1238.78,1749586800,1241.22,1238.78,1239.18
1240.6,1749586860,1240.6,1239.0,1239.0
1239.71,1749586920,1241.32,1239.53,1240.64
1241.16,1749586980,1241.53,1239.87,1240.05
1239.81,1749587040,1241.29,1239.02,1240.88
1237.6,1749587100,1240.31,1237.6,1240.31
1235.53,1749587160,1237.76,1235.5,1237.62
1238.07,1749587220,1238.71,1235.74,1235.74
1237.2,1749587280,1238.47,1236.82,1237.6
1241.31,1749587340,1241.9,1237.19,1237.19
1242.18,1749587400,1242.18,1240.74,1241.44
1240.51,1749587460,1243.12,1238.68,1242.73
1239.42,1749587520,1240.71,1238.87,1240.46
1240.76,1749587580,1241.09,1239.81,1239.9
1237.76,1749587640,1241.05,1237.76,1241.05
1240.56,1749587700,1240.86,1237.84,1237.84
1242.64,1749587760,1242.64,1239.64,1240.18
1243.11,1749587820,1244.01,1242.61,1242.61
1242.98,1749587880,1243.79,1241.32,1243.14
1243.33,1749587940,1243.86,1241.91,1242.87
1244.71,1749588000,1246.35,1243.99,1243.99
1246.23,1749588060,1246.5,1243.78,1244.71
1246.7,1749588120,1246.71,1245.78,1246.13
1247.41,1749588180,1248.67,1246.78,1247.04
1246.99,1749588240,1248.16,1246.1,1247.7
1248.51,1749588300,1249.31,1246.85,1246.98
1247.54,1749588360,1248.81,1246.9,1248.33
1249.44,1749588420,1250.17,1247.8,1247.91
1251.86,1749588480,1251.89,1250.01,1250.01
1251.26,1749588540,1252.92,1251.04,1252.58
1250.3,1749588600,1252.12,1250.28,1251.44
1250.01,1749588660,1250.7,1249.29,1250.34
1249.92,1749588720,1250.64,1249.1,1250.18
1248.59,1749588780,1250.29,1248.27,1250.29
1249.72,1749588840,1250.63,1248.27,1248.31
1248.5,1749588900,1250.26,1247.85,1250.03
1249.37,1749588960,1249.77,1248.06,1248.41
1250.0,1749589020,1250.24,1249.12,1249.56
1250.57,1749589080,1252.04,1249.48,1249.92
1248.96,1749589140,1252.0,1248.96,1250.58
1249.34,1749589200,1249.8,1248.13,1248.48
1246.07,1749589260,1249.38,1246.01,1249.02
1246.67,1749589320,1247.74,1245.69,1245.69
1247.11,1749589380,1247.11,1245.65,1247.04
1247.1,1749589440,1247.1,1245.07,1247.04
1249.23,1749589500,1249.45,1246.75,1247.03
1247.02,1749589560,1249.42,1246.99,1249.32
1245.69,1749589620,1247.83,1245.05,1247.12
1241.84,1749589680,1245.97,1241.84,1245.4
1240.04,1749589740,1241.78,1239.58,1241.78
1239.65,1749589800,1240.75,1239.05,1239.92
1239.25,1749589860,1240.75,1238.69,1239.92
1238.42,1749589920,1240.97,1238.27,1239.71
1234.95,1749589980,1238.64,1234.76,1238.64
1238.28,1749590040,1238.55,1235.47,1235.47
1238.14,1749590100,1238.26,1237.09,1237.71
1237.02,1749590160,1238.11,1236.67,1238.11
1238.02,1749590220,1239.37,1236.98,1237.01
1236.61,1749590280,1238.33,1236.61,1237.65
1235.16,1749590340,1237.29,1234.78,1236.6
1235.1,1749590400,1235.77,1234.09,1235.74
1232.67,1749590460,1235.52,1232.22,1234.91
1232.95,1749590520,1232.99,1231.41,1232.59
1230.06,1749590580,1232.7,1229.74,1232.7
1232.8,1749590640,1232.8,1230.0,1230.01
1229.42,1749590700,1233.38,1229.42,1233.17
1229.42,1749590760,1230.84,1229.12,1229.16
1228.32,1749590820,1229.72,1227.78,1229.04
1227.56,1749590880,1228.58,1226.85,1228.23
1225.11,1749590940,1227.3,1224.44,1227.3
1225.11,1749591000,1226.42,1224.46,1225.52
1223.97,1749591060,1226.67,1223.97,1224.84
1222.9,1749591120,1224.2,1222.1,1223.83
1222.28,1749591180,1223.89,1221.58,1222.6
1224.63,1749591240,1224.79,1222.06,1222.38
1225.87,1749591300,1226.58,1224.31,1224.83
1228.93,1749591360,1229.03,1225.6,1225.9
1229.07,1749591420,1229.8,1228.12,1229.14
1229.13,1749591480,1230.6,1228.52,1229.27
1228.84,1749591540,1230.11,1228.49,1229.05
1229.06,1749591600,1229.57,1227.97,1228.14
1226.06,1749591660,1228.97,1225.44,1228.62
1225.66,1749591720,1227.24,1225.06,1225.74
1226.46,1749591780,1226.82,1225.21,1225.6
1228.55,1749591840,1229.6,1225.71,1226.16
1227.4,1749591900,1228.87,1226.83,1228.55
1227.06,1749591960,1228.88,1226.97,1227.32
1227.86,1749592020,1228.87,1226.37,1226.9
1229.18,1749592080,1229.91,1227.74,1227.76
1227.06,1749592140,1229.06,1227.06,1228.91
1228.24,1749592200,1228.5,1225.3,1226.95
1226.02,1749592260,1228.83,1225.49,1228.52
1227.96,1749592320,1228.46,1225.7,1225.7
1227.9,1749592380,1228.74,1227.4,1227.98
1226.39,1749592440,1228.66,1226.24,1228.24
1226.39,1749592500,1227.46,1225.71,1226.15
1226.23,1749592560,1227.87,1226.23,1226.79
1226.76,1749592620,1226.88,1225.89,1226.34
1227.02,1749592680,1227.27,1226.29,1226.75
1227.29,1749592740,1227.75,1225.48,1226.91
1223.48,1749592800,1227.47,1223.48,1227.18
1224.38,1749592860,1224.41,1221.91,1223.83
1223.59,1749592920,1224.23,1222.28,1223.89
1223.45,1749592980,1223.74,1222.61,1223.48
